"","Abudefduf saxatilis","Abudefduf taurus","Acanthostracion polygonius","Acanthostracion quadricornis","Acanthurus chirurgus","Acanthurus coeruleus","Aetobatus narinari","Alphestes afer","Aluterus schoepfii","Aluterus scriptus","Amblycirrhitus pinos","Anisotremus surinamensis","Anisotremus virginicus","Antennarius multiocellatus","Antennarius striatus","Apogon maculatus","Archosargus rhomboidalis","Atherinomorus stipes","Aulostomus maculatus","Balistes vetula","Bodianus rufus","Bothus lunatus","Bothus ocellatus","Calamus bajonado","Calamus calamus","Calamus pennatula","Cantherhines macrocerus","Cantherhines pullus","Canthidermis sufflamen","Canthigaster rostrata","Carangoides bartholomaei","Caranx crysos","Caranx latus","Caranx ruber","Cephalopholis cruentata","Cephalopholis fulva","Chaetodipterus faber","Chaetodon capistratus","Chaetodon sedentarius","Chilomycterus antennatus","Chromis cyanea","Chromis multilineata","Clepticus parrae","Coryphopterus glaucofraenum","Dactylopterus volitans","Dasyatis americana","Decapterus punctatus","Diodon holocanthus","Diodon hystrix","Diplodus caudimacula","Echeneis naucrates","Echidna catenata","Entomacrodus nigricans","Epinephelus adscensionis","Epinephelus guttatus","Epinephelus itajara","Epinephelus striatus","Equetus lanceolatus","Equetus punctatus","Eucinostomus argenteus","Euthynnus alletteratus","Gerres cinereus","Ginglymostoma cirratum","Gnatholepis thompsoni","Gobioclinus guppyi","Gymnothorax moringa","Gymnothorax vicinus","Haemulon album","Haemulon aurolineatum","Haemulon carbonarium","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon macrostomum","Haemulon parra","Haemulon plumierii","Haemulon sciurus","Haemulon vittatum","Halichoeres bivittatus","Halichoeres garnoti","Halichoeres maculipinna","Halichoeres poeyi","Halichoeres radiatus","Harengula clupeola","Harengula humeralis","Hemiramphus balao","Hemiramphus brasiliensis","Heteroconger longissimus","Heteropriacanthus cruentatus","Holacanthus ciliaris","Holacanthus tricolor","Holocentrus adscensionis","Holocentrus rufus","Hypoatherina harringtonensis","Hypoplectrus aberrans","Hypoplectrus chlorurus","Hypoplectrus nigricans","Hypoplectrus puella","Jenkinsia lamprotaenia","Kyphosus sectatrix","Labrisomus nuchipinnis","Lachnolaimus maximus","Lactophrys bicaudalis","Lactophrys trigonus","Lactophrys triqueter","Lutjanus analis","Lutjanus apodus","Lutjanus cyanopterus","Lutjanus griseus","Lutjanus jocu","Lutjanus mahogoni","Malacanthus plumieri","Melichthys niger","Microspathodon chrysurus","Monacanthus ciliatus","Monacanthus tuckeri","Mulloidichthys martinicus","Mycteroperca bonaci","Mycteroperca interstitialis","Mycteroperca tigris","Mycteroperca venenosa","Myrichthys breviceps","Myrichthys ocellatus","Myripristis jacobus","Neoniphon marianus","Ocyurus chrysurus","Odontoscion dentex","Ogcocephalus nasutus","Oligoplites saurus","Ophichthus ophis","Ophioblennius atlanticus","Opisthonema oglinum","Opistognathus aurifrons","Opistognathus maxillosus","Opistognathus whitehursti","Parablennius marmoreus","Paranthias furcifer","Pareques acuminatus","Pempheris schomburgkii","Phaeoptyx conklini","Platybelone argalus","Pomacanthus arcuatus","Pomacanthus paru","Priacanthus arenatus","Prognathodes aculeatus","Pseudupeneus maculatus","Remora remora","Rypticus saponaceus","Sargocentron coruscum","Sargocentron vexillarium","Scartella cristata","Scarus coelestinus","Scarus taeniopterus","Scarus vetula","Scomberomorus cavalla","Scomberomorus regalis","Scorpaena brasiliensis","Scorpaena grandicornis","Scorpaena inermis","Scorpaena plumieri","Scorpaenodes caribbaeus","Selar crumenophthalmus","Seriola dumerili","Serranus tigrinus","Sparisoma aurofrenatum","Sparisoma chrysopterum","Sparisoma radians","Sparisoma rubripinne","Sparisoma viride","Sphoeroides spengleri","Sphyraena barracuda","Sphyraena picudilla","Stegastes fuscus","Stegastes leucostictus","Stegastes planifrons","Stegastes variabilis","Strongylura timucu","Synodus foetens","Synodus intermedius","Thalassoma bifasciatum","Trachinotus falcatus","Trachinotus goodei","Tylosurus acus","Tylosurus crocodilus","Xyrichtys novacula","Xyrichtys splendens"
"Actinopterygii",0.105142857142857,0,0,0,0,0,0,0.07502679528403,0,0,0,0.0152129817444219,0,0.75,1,0,0,0.226993865030675,0.735,0.00917431192660551,0,0.857,0.382949932341001,0,0,0,0,0,0,0,1,0.879676440849343,0.871,0.915915915915916,0.662,0.477673935617861,0,0,0,0,0.0441176470588235,0,0,0,0.05,0.223132036847492,0,0,0,0,0.666666666666667,0,0,0.209375,0.218200620475698,0.140889830508475,0.543259557344064,0,0.00516129032258065,0,0.567,0,0.89,0,0,1,0.625,0.0303490136570562,0,0.00736067297581493,0.0044543429844098,0,0,0,0.0373303167420814,0.0326944757609921,0.033,0.0337197049525817,0.0384615384615385,0,0.0598802395209581,0,0.02,0.633507853403141,0.443310657596372,1,0,0.290485829959514,0,0,0,0.0133630289532294,0.081,0.146371463714637,0.267952840300107,0.442,0.1,0.01323706377858,0,0.105,0,0,0,0,0.303771661569827,0.645744680851064,1,0.391,0.630676084762866,0.75,0.143518518518519,0.118320610687023,0.0204081632653061,0,0,0,1,1,1,0.953,0,0.039360393603936,0.0555555555555556,0,0.17563117453348,0.378,0.088,0.987,0.5,1,0.105641025641026,0.0152905198776758,0.227,0.22,0,0.00652173913043478,0.041340782122905,0,0.0220048899755501,0.97,0,0,0.375,0,0.0478841870824053,0.142857142857143,0.479,0,0.0528455284552845,0,0,0,0,0.923,0.972672064777328,0,0.142857142857143,0.0032017075773746,0.422,0.0847084708470847,0.596,1,0.0986775178026449,0,0,0,0,0,0.00957592339261286,0.955,0.821,0.148484848484848,0.454219030520646,0,0,0.96,1,0.945,0.104693140794224,0,0.852,0.963,0.909,0,0.0147368421052632
"Anthozoa",0.493714285714286,0.883333333333333,0.665714285714286,0.476190476190476,0,1,0,0,0,0.229357798165138,0,0.00760649087221095,0,0,0,0,0,0,0,0.0100917431192661,0,0,0,0,0,0,0.452830188679245,0.261146496815287,0,0,0,0,0,0,0,0,0.434991974317817,0.563802083333333,0.356359649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343087790110999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229007633587786,0.448979591836735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36144578313253,0.552631578947368,0,0,0,0,0,0,0,0,0.125,0,0.36,0,0,0,0,0,0,0,0,0,0,0.409090909090909,0,0,0,0.0384615384615385,0,0,0,0.0909090909090909,0.0269299820466786,0.60790273556231,0.0885416666666667,0,0,0,0,0,0,0,0,0,0
"Appendicularia",0.0811428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71218487394958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190573770491803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307692307692308,0,0,0,0,0,0,0,0.089242053789731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182370820668693,0,0,0,0,0,0,0,0,0,0,0
"Arachnida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802568218298555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013172338090011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ascidiacea",0,0,0,0,0,0,0,0,0,0.0168195718654434,0,0,0.0158898305084746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382165605095541,0,0.00900900900900901,0,0,0,0,0,0,0,0.02734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051605504587156,0.08375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.608433734939759,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asteroidea",0,0,0,0,0,0,0,0,0,0,0,0.0177484787018256,0,0,0,0,0,0,0,0.0642201834862385,0,0,0,0,0,0,0,0,0,0.0570570570570571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106194690265487,0.0275229357798165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bivalvia",0,0,0,0.00952380952380952,0,0,0.466,0,0,0,0,0.013184584178499,0.0582627118644068,0,0,0,0.259541984732824,0,0,0.211009174311927,0.0823045267489712,0,0,0.134403209628887,0.157068062827225,0.129473684210526,0,0.0127388535031847,0,0.0780780780780781,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.072,0.110542476970317,0,0.128,0.130391173520562,0,0,0,0,0,0,0,0.00704225352112676,0,0.00774193548387097,0.0272822665267576,0,0.248380129589633,0,0,0,0,0,0.0819423368740516,0.0188235294117647,0,0.16369710467706,0.0328205128205128,0,0.0282542885973764,0.0147058823529412,0.169109357384442,0,0.0389884088514226,0.0897435897435897,0.0253164556962025,0.0263473053892216,0.253791708796764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0,0.115825688073394,0.02125,0,0,0,0,0,0,0,0.00381679389312977,0,0.033625730994152,0,0.143326039387309,0,0,0,0,0,0,0,0,0.013172338090011,0,0.017,0,0,0,0.00615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746102449888641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218878248974008,0,0,0.0151515151515152,0,0,0.03125,0,0,0,0,0.172,0.039,0,0,0.311731843575419,0.0347368421052632
"Cephalopoda",0,0,0,0,0,0,0,0.0267952840300107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0,0,0,0,0,0,0,0,0,0,0,0.014014014014014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0723888314374354,0,0.0523138832997988,0,0,0,0.366,0,0.11,0,0,0,0.125,0,0,0,0.0022271714922049,0.0338461538461538,0,0,0,0.0169109357384442,0,0,0,0.0453586497890295,0,0,0,0,0,0,0,0.090080971659919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316004077471967,0.0367021276595745,0,0,0.0928355196770938,0.094,0,0,0,0,0,0,0,0,0,0.039,0,0,0.0154320987654321,0,0.0417124039517014,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0339506172839506,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0.077,0.0232793522267206,0,0,0,0.062,0,0,0,0,0,0,0,0,0,0,0.026,0.179,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
"Demospongiae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225225225225225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Echinoidea",0,0,0,0,0,0,0,0,0,0,0,0.54158215010142,0,0,0,0,0,0,0,0,0.148148148148148,0,0,0.453360080240722,0.0931937172774869,0.0421052631578947,0,0.00636942675159236,0.294464075382803,0.0570570570570571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,0.34704112337011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301972685887709,0,0.114616193480547,0,0.0143589743589744,0.916578669482576,0,0.14027149321267,0.0980834272829763,0,0.188619599578504,0.0384615384615385,0,0.081437125748503,0.201213346814965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,0.046,0.176991150442478,0.0814220183486239,0.02875,0,0,0,0,0,0,0.03125,0,0,0,0,0.00437636761487965,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189054726368159,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0943912448700411,0,0,0,0,0,0,0,0,0,0.0180505415162455,0.25,0,0,0,0,0
