;grp1;grp2;n
1;Amphipoda;Amphipoda;254
2;Annelida;Annelida;1
3;Annelida;Polychaeta;300
4;Anthozoa;Actiniaria;10
5;Anthozoa;Alcyonaria;36
6;Anthozoa;Anthozoa;5
7;Anthozoa;Corallimorpharia;1
8;Anthozoa;Scleractinia;72
9;Anthozoa;Zoantharia;25
10;Arachnida;Arachnida;13
11;Asteroidea;Asteroidea;10
12;Benthic autotroph;Algae;721
13;Benthic autotroph;Seagrass;57
14;Benthic autotroph;Spermatophyta;21
15;Bivalvia;Bivalvia;242
16;Bryozoa;Bryozoa;23
17;Cephalopoda;Cephalopoda;52
18;Cirripedia;Cirripedia;24
19;Cnidaria;Cnidaria;1
20;Copepoda;Copepoda;384
21;Coralline algae;Coralline algae;48
22;Crab;Crab;615
23;Crab;Decapoda;7
24;Crinoidea;Crinoidea;1
25;Crustacea;Crustacea;182
26;Crustacea;Decapoda;1
27;Ctenophora;Ctenophora;1
28;Cyanobacteria;Cyanobacteria;72
29;Detritus;Detritus;46
30;Echinodermata;Echinodermata;1
31;Echinoidea;Echinoidea;136
32;Fish;Fish;724
33;Foraminifera;Foraminifera;113
34;Gastropoda;Gastropoda;559
35;Hemichordata;Hemichordata;13
36;Holothuria;Holothuria;23
37;Hydrozoa;Hydrozoa;76
38;Inorganic;Inorganic;45
39;Insecta;Insecta;43
40;Isopoda;Isopoda;177
41;Microfauna;Cephalochordata;2
42;Microfauna;Chaetognatha;4
43;Microfauna;Nematoda;11
44;Microfauna;Nemertea;2
45;Mollusca;Mollusca;8
46;Ophiuroidea;Ophiuroidea;104
47;Ostracoda;Ostracoda;110
48;Paguroidea;Paguroidea;113
49;Palinuridae;Palinuridae;9
50;Phytoplankton;Diatoms;28
51;Phytoplankton;Phytoplankton;1
52;Polyplacophora;Polyplacophora;46
53;Porifera;Porifera;64
54;Priapulida;Priapulida;1
55;Pycnogonida;Pycnogonida;21
56;Scaphopoda;Scaphopoda;18
57;Scyllaridae;Scyllaridae;10
58;Scyphozoa;Scyphozoa;2
59;Sea turtles;Sea turtles;2
60;Shrimp;Shrimp;445
61;Sipuncula;Sipuncula;84
62;Stomatopoda;Stomatopoda;108
63;Tanaidacea;Tanaidacea;65
64;Tunicata;Tunicata;113
65;Zooplankton;Bivalvia;5
66;Zooplankton;Cirripedia;8
67;Zooplankton;Crab;72
68;Zooplankton;Crustacea;3
69;Zooplankton;Decapoda;15
70;Zooplankton;Eggs;33
71;Zooplankton;Fish;85
72;Zooplankton;Gastropoda;34
73;Zooplankton;Mollusca;25
74;Zooplankton;Polychaeta;1
75;Zooplankton;Shrimp;42
76;Zooplankton;Stomatopoda;16
77;Zooplankton;Tunicata;13
78;Zooplankton;Zooplankton;89
